m01484.0-comparison  line 536  comparison `<` -> `<=`
m01488.0-constant  line 536  `4` -> `5`
m01490.0-negation  line 537  removed `not`
m01502.0-arithmetic  line 539  operator `/` -> `*`
m01503.0-arithmetic  line 539  operator `-` -> `+`
m01519.0-arithmetic  line 540  operator `+` -> `-`
m01523.0-arithmetic  line 540  operator `*` -> `/`
m01538.0-comparison  line 541  comparison `is` -> `is not`
m01556.0-constant  line 543  `0.25` -> `1.25`
m01562.0-constant  line 543  `0.75` -> `1.75`
m01567.0-arithmetic  line 544  operator `/` -> `*`
m01568.0-arithmetic  line 544  operator `*` -> `/`
m01569.0-constant  line 544  `2` -> `3`
m01571.0-arithmetic  line 544  operator `-` -> `+`
m01578.0-arithmetic  line 544  operator `**` -> `*`
m01582.0-arithmetic  line 544  operator `/` -> `*`
m01583.0-constant  line 544  `1` -> `2`
m01585.0-constant  line 544  `3.0` -> `4.0`
m01592.0-constant  line 545  `1` -> `2`
m01599.0-arithmetic  line 545  operator `/` -> `*`
m01600.0-arithmetic  line 545  operator `-` -> `+`
m01613.0-arithmetic  line 546  operator `+` -> `-`
m01617.0-arithmetic  line 546  operator `*` -> `/`
m01629.0-arithmetic  line 546  operator `+` -> `-`
m01633.0-constant  line 546  `1` -> `2`
m01645.0-comparison  line 547  comparison `<` -> `<=`
m01654.0-arithmetic  line 549  operator `/` -> `*`
m01655.0-arithmetic  line 549  operator `-` -> `+`
m01671.0-arithmetic  line 550  operator `+` -> `-`
m01675.0-arithmetic  line 550  operator `*` -> `/`
m01703.0-return  line 555  return value replaced with `None`
m01725.0-constant  line 575  string `'bin_digits'` -> `'XX...XX'`
m01726.0-constant  line 575  `1` -> `2`
m01734.0-arithmetic  line 577  operator `%` -> `*`
m01735.0-constant  line 577  string `'unexpected keyword a...'` -> `'XX...XX'`
m01743.0-negation  line 579  removed `not`
m01789.0-arithmetic  line 588  operator `%` -> `*`
m01790.0-constant  line 588  string `'bins expected intege...'` -> `'XX...XX'`
m01795.0-comparison  line 590  comparison `<` -> `<=`
m01804.0-constant  line 590  `0` -> `1`
m01809.0-arithmetic  line 591  operator `+` -> `-`
m01832.0-arithmetic  line 596  operator `**` -> `*`
m01833.0-constant  line 596  `10.0` -> `11.0`
m01841.0-arithmetic  line 597  operator `/` -> `*`
m01845.0-arithmetic  line 597  operator `*` -> `/`
m01874.0-arithmetic  line 600  operator `-` -> `+`
m01885.0-constant  line 600  `1` -> `2`
m01903.0-arithmetic  line 604  augmented assign `+=` -> `-=`
m01911.0-constant  line 604  `1` -> `2`
m01922.0-constant  line 606  `1` -> `2`
m01937.0-constant  line 608  `0` -> `1`
m01951.0-return  line 610  return value replaced with `None`
m01970.0-constant  line 658  string `'width'` -> `'XX...XX'`
m01980.0-constant  line 659  string `'format_bin'` -> `'XX...XX'`
m01996.0-return  line 661  return value replaced with `None`
m02028.0-comparison  line 705  comparison `not in` -> `in`
m02033.0-constant  line 705  string `'dict'` -> `'XX...XX'`
m02034.0-constant  line 705  string `'list'` -> `'XX...XX'`
m02035.0-constant  line 705  string `'text'` -> `'XX...XX'`
m02041.0-arithmetic  line 706  operator `%` -> `*`
m02042.0-constant  line 706  string `'invalid format for d...'` -> `'XX...XX'`
m02169.0-comparison  line 725  comparison `==` -> `!=`
m02173.0-constant  line 725  string `'list'` -> `'XX...XX'`
m02180.0-comparison  line 727  comparison `==` -> `!=`
m02184.0-constant  line 727  string `'text'` -> `'XX...XX'`
m02190.0-constant  line 728  string `'\n'` -> `'XX...XX'`
m02193.0-arithmetic  line 728  operator `%` -> `*`
m02194.0-constant  line 728  string `'%s%s'` -> `'XX...XX'`
m02199.0-arithmetic  line 728  operator `+` -> `-`
m02203.0-constant  line 728  string `':'` -> `'XX...XX'`
m02205.0-constant  line 728  `10` -> `11`
m02305.0-constant  line 764  string `'count'` -> `'XX...XX'`
m02381.0-negation  line 791  removed `not`
m02394.0-negation  line 793  removed `not`
m02410.0-constant  line 796  `0` -> `1`
m02418.0-constant  line 798  `80` -> `81`
m02467.0-arithmetic  line 804  operator `%` -> `*`
m02468.0-constant  line 804  string `'%s'` -> `'XX...XX'`
m02500.0-arithmetic  line 806  operator `%` -> `*`
m02501.0-constant  line 806  string `'%s: %s #'` -> `'XX...XX'`
m02504.0-arithmetic  line 806  operator `*` -> `/`
m02505.0-constant  line 806  string `'x'` -> `'XX...XX'`
m02518.0-arithmetic  line 808  operator `-` -> `+`
m02527.0-constant  line 808  `3` -> `4`
m02531.0-arithmetic  line 809  operator `/` -> `*`
m02543.0-constant  line 810  string `'{label:>{label_cols}...'` -> `'XX...XX'`
m02571.0-arithmetic  line 812  operator `*` -> `/`
m02580.0-boolean  line 813  `or` -> `and`
m02582.0-arithmetic  line 813  operator `*` -> `/`
m02583.0-constant  line 813  string `'#'` -> `'XX...XX'`
m02587.0-constant  line 813  string `'|'` -> `'XX...XX'`
m02619.0-return  line 821  return value replaced with `None`
m02622.0-constant  line 821  string `'\n'` -> `'XX...XX'`
